planet,n_sectors,total_usable,sector_breakdown
TOI-157,35,365,"{'S09': 10, 'S11': 10, 'S12': 10, 'S13': 12, 'S27': 10, 'S28': 9, 'S29': 10, 'S30': 12, 'S31': 11, 'S32': 12, 'S33': 12, 'S34': 11, 'S35': 10, 'S36': 10, 'S37': 10, 'S38': 12, 'S39': 12, 'S61': 9, 'S62': 10, 'S63': 10, 'S64': 12, 'S65': 10, 'S66': 8, 'S67': 8, 'S68': 10, 'S69': 9, 'S87': 8, 'S88': 9, 'S89': 13, 'S90': 11, 'S93': 10, 'S94': 11, 'S95': 10, 'S96': 10, 'S98': 14}"
WASP-019,7,203,"{'S09': 27, 'S36': 26, 'S62': 27, 'S63': 33, 'S89': 34, 'S90': 32, 'S99': 24}"
TOI-1259,32,194,"{'S14': 6, 'S17': 4, 'S18': 6, 'S19': 7, 'S20': 8, 'S21': 7, 'S24': 6, 'S25': 6, 'S26': 7, 'S40': 7, 'S41': 8, 'S47': 6, 'S48': 5, 'S50': 5, 'S51': 7, 'S52': 7, 'S53': 7, 'S54': 6, 'S55': 7, 'S58': 7, 'S59': 6, 'S60': 5, 'S73': 5, 'S74': 4, 'S75': 8, 'S77': 5, 'S78': 5, 'S79': 7, 'S80': 6, 'S81': 4, 'S85': 5, 'S86': 5}"
HIP_00065,9,192,"{'S01': 26, 'S02': 26, 'S28': 17, 'S29': 20, 'S68': 19, 'S69': 19, 'S95': 21, 'S96': 22, 'S102': 22}"
KELT-23,19,170,"{'S14': 10, 'S15': 7, 'S16': 8, 'S17': 8, 'S21': 11, 'S23': 9, 'S41': 12, 'S47': 11, 'S48': 10, 'S49': 8, 'S50': 6, 'S54': 10, 'S57': 11, 'S74': 8, 'S75': 7, 'S76': 8, 'S77': 6, 'S81': 10, 'S84': 10}"
KELT-09,6,94,"{'S14': 12, 'S15': 12, 'S41': 17, 'S55': 17, 'S75': 19, 'S82': 17}"
XO-7,12,90,"{'S25': 9, 'S26': 8, 'S40': 10, 'S47': 8, 'S52': 8, 'S53': 8, 'S59': 7, 'S60': 7, 'S73': 6, 'S74': 5, 'S79': 9, 'S86': 5}"
HAT-P-37,11,87,"{'S26': 8, 'S40': 10, 'S41': 10, 'S53': 5, 'S54': 7, 'S55': 9, 'S59': 8, 'S74': 8, 'S75': 7, 'S80': 6, 'S82': 9}"
TOI-1431,9,82,"{'S15': 10, 'S16': 8, 'S55': 10, 'S56': 11, 'S57': 10, 'S76': 9, 'S77': 6, 'S83': 9, 'S84': 9}"
WASP-064,5,71,"{'S06': 14, 'S07': 14, 'S33': 16, 'S34': 15, 'S87': 12}"
TOI-1518,5,59,"{'S57': 13, 'S58': 14, 'S77': 9, 'S84': 11, 'S85': 12}"
TOI-169,6,58,"{'S13': 10, 'S27': 10, 'S28': 10, 'S67': 9, 'S68': 10, 'S95': 9}"
KELT-20,7,48,"{'S14': 4, 'S40': 8, 'S41': 8, 'S54': 7, 'S74': 8, 'S75': 7, 'S81': 6}"
WASP-170,5,46,"{'S35': 9, 'S61': 9, 'S62': 9, 'S89': 12, 'S99': 7}"
TOI-2152,7,44,"{'S58': 8, 'S59': 6, 'S73': 4, 'S78': 5, 'S79': 8, 'S85': 6, 'S86': 7}"
KELT-24,10,42,"{'S14': 5, 'S20': 5, 'S21': 4, 'S40': 5, 'S41': 5, 'S47': 4, 'S48': 4, 'S60': 4, 'S74': 4, 'S75': 2}"
TOI-2154,7,38,"{'S40': 6, 'S52': 6, 'S53': 5, 'S59': 6, 'S60': 4, 'S79': 8, 'S86': 3}"
TOI-4153,8,37,"{'S53': 5, 'S58': 5, 'S59': 6, 'S60': 4, 'S73': 3, 'S78': 3, 'S79': 6, 'S85': 5}"
HATS-06,5,36,"{'S06': 7, 'S32': 7, 'S33': 7, 'S87': 5, 'S98': 10}"
HAT-P-20,5,36,"{'S44': 8, 'S45': 8, 'S46': 8, 'S71': 6, 'S72': 6}"
KELT-17,5,35,"{'S44': 8, 'S45': 7, 'S46': 7, 'S71': 6, 'S72': 7}"
TOI-1420,10,32,"{'S16': 3, 'S24': 4, 'S56': 4, 'S57': 3, 'S58': 4, 'S77': 2, 'S78': 3, 'S83': 4, 'S84': 3, 'S85': 2}"
KELT-18,5,32,"{'S23': 6, 'S48': 6, 'S50': 6, 'S75': 7, 'S77': 7}"
KELT-21,5,30,"{'S41': 8, 'S55': 4, 'S75': 6, 'S81': 5, 'S82': 7}"
TOI-2025,13,30,"{'S40': 4, 'S47': 2, 'S52': 3, 'S53': 3, 'S58': 2, 'S59': 2, 'S60': 2, 'S74': 1, 'S78': 2, 'S79': 3, 'S81': 2, 'S85': 2, 'S86': 2}"
HAT-P-39,5,29,"{'S44': 7, 'S45': 6, 'S46': 6, 'S71': 6, 'S72': 4}"
WASP-045,4,27,"{'S02': 8, 'S29': 6, 'S69': 7, 'S96': 6}"
TOI-1268,8,23,"{'S15': 3, 'S21': 3, 'S22': 3, 'S41': 4, 'S48': 3, 'S49': 2, 'S75': 2, 'S76': 3}"
HAT-P-12,5,22,"{'S23': 6, 'S49': 6, 'S50': 4, 'S76': 4, 'S77': 2}"
TOI-181,4,17,"{'S02': 5, 'S29': 4, 'S69': 4, 'S96': 4}"
HD_017156,7,9,"{'S18': 1, 'S19': 1, 'S25': 1, 'S52': 2, 'S59': 2, 'S73': 1, 'S79': 1}"
TOI-4994,4,4,"{'S66': 1, 'S93': 1, 'S100': 1, 'S101': 1}"
TOI-2010,3,3,"{'S15': 1, 'S56': 1, 'S82': 1}"
