planet,total_usable,transits_taken,n_sectors_used,single_sector,years_used,primary_sector,selection,median_pts
TOI-157,365,10,1,True,[7],98,S98:10,64.0
WASP-019,203,10,1,True,[7],89,S89:10,48.0
TOI-1259,194,10,2,False,[2],20,S20:8 + S21:2,74.0
HIP_00065,192,10,1,True,[1],1,S01:10,23.0
KELT-23,170,10,1,True,[4],41,S41:10,71.0
KELT-09,94,10,1,True,[6],75,S75:10,118.0
XO-7,90,10,1,True,[4],40,S40:10,83.0
HAT-P-37,87,10,1,True,[4],40,S40:10,70.0
TOI-1431,82,10,1,True,[5],56,S56:10,75.0
WASP-064,71,10,1,True,[3],33,S33:10,72.0
TOI-1518,59,10,1,True,[5],58,S58:10,72.0
TOI-169,58,10,1,True,[1],13,S13:10,51.0
KELT-20,48,10,2,False,[4],40,S40:8 + S41:2,107.0
WASP-170,46,10,1,True,[7],89,S89:10,61.0
TOI-2152,44,10,2,False,[5],58,S58:8 + S59:2,111.5
KELT-24,42,10,2,False,[2],14,S14:5 + S20:5,128.0
TOI-2154,38,10,2,False,"[4, 6]",79,S79:8 + S52:2,74.0
TOI-4153,37,10,2,False,[5],59,S59:6 + S58:4,135.0
HAT-P-20,36,10,2,False,[4],44,S44:8 + S45:2,55.0
HATS-06,36,10,1,True,[7],98,S98:10,61.0
KELT-17,35,10,2,False,[4],44,S44:8 + S45:2,104.0
TOI-1420,32,10,3,False,"[2, 5]",24,S24:4 + S16:3 + S56:3,100.7
KELT-18,32,10,2,False,[6],77,S77:7 + S75:3,139.0
TOI-2025,30,10,3,False,[4],40,S40:4 + S52:3 + S53:3,108.0
KELT-21,30,10,2,False,[4],41,S41:8 + S55:2,123.0
HAT-P-39,29,10,2,False,[4],44,S44:7 + S45:3,125.5
WASP-045,27,10,2,False,"[1, 5]",2,S02:8 + S69:2,50.5
TOI-1268,23,10,4,False,"[2, 4]",41,S41:4 + S48:3 + S49:2 + S15:1,119.2
HAT-P-12,22,10,2,False,"[2, 4]",23,S23:6 + S49:4,69.8
TOI-181,17,10,3,False,"[1, 3, 5]",2,S02:5 + S29:4 + S69:1,59.3
