sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
14,1779.375083,0.0,19,15,0,0.0
15,1779.375083,0.0,17,14,0,0.0
19,1779.375083,0.0,17,16,0,0.0
22,1779.375083,0.0,19,17,0,0.0
26,1779.375083,0.0,16,14,0,0.0
40,1779.375083,0.0,20,19,0,0.0
41,1779.375083,0.0,19,18,0,0.0
49,1779.375083,0.0,17,14,0,0.0
53,1779.375083,0.0,17,12,0,0.0
54,1779.375083,0.0,19,13,0,0.0
55,1779.375083,0.0,20,17,0,0.0
56,1779.375083,0.0,20,20,0,0.0
59,1779.375083,0.0,17,15,0,0.0
73,1779.375083,0.0,19,11,0,0.0
74,1779.375083,0.0,19,13,0,0.0
75,1779.375083,0.0,19,15,0,0.0
76,1779.375083,0.0,19,18,0,0.0
79,1779.375083,0.0,19,13,0,0.0
80,1779.375083,0.0,19,13,0,0.0
81,1779.375083,0.0,19,14,0,0.0
82,1779.375083,0.0,19,18,0,0.0
83,1779.375083,0.0,17,16,0,0.0
86,1779.375083,0.0,19,12,0,0.0
Total,,,425,347,0,0.0
