planet,S75_usable,S41_usable,S75_rms,S41_rms,S75_pts,S41_pts,winner,rms_diff_ppm
TOI-1259,8,8,2143.2,2073.0,18584,16503,S41,-70.2
KELT-23,7,12,3345.5,3411.1,11329,17037,S75,65.7
HAT-P-37,7,10,6522.7,9607.3,14495,17271,S75,3084.6
Kepler-015,4,4,8177.4,7917.3,15037,17688,S41,-260.1
KELT-24,2,5,795.3,495.2,10864,17349,S41,-300.1
TOI-1268,2,4,2566.6,2422.6,13465,17600,S41,-144.1
KELT-20,7,8,1268.9,660.3,17833,17029,S41,-608.7
KELT-09,19,17,2286.7,2221.4,16149,15315,S41,-65.3
Kepler-1514b,0,1,2553.9,2488.4,18445,17357,S41,-65.6
Kepler-423,9,9,20751.3,21134.9,16195,17106,S75,383.5
Kepler-077,3,6,11061.6,10661.1,17053,17529,S41,-400.5
KELT-18,7,0,2109.1,,12191,0,—,
KELT-21,6,8,2468.0,2220.2,15279,16843,S41,-247.8
